Number,Request date,Delivery date,Status,Customer,Price,Product,Amount,Description,"Unit price 
 Unitario",Total price,Final Price,Sample,MP,Print,Maquila,Others,Total costs,Unit Profit,Total Profit,Comission,Payment made,Missing payment,Payment,Payment method,Bill
1,5-Sep,20-Sep,Delivered,Robertson,C2_004B,Retractable Shade,1,Jack,"$1,250.00 ","$1,250.00 ","$1,450.00 ",$0.00 ,$806.03 ,$0.00 ,$0.00 ,$0.00 ,$806.03 ,$443.97 ,$443.97 ,$221.99 ,"$1,450.00 ",$0.00 ,Paid,Transfer,Sent
,,,,,,,,,,,,,,,,,,TOTAL,"$9,186.92 ","$4,593.46 ",,,,,
AUGUST,,,,,,,,,,,,,,,,,,,,,,,,,
5,31-Aug,20-Sep,Delivered,Others,C1_001D,Bag,400,JollyB,$40.00 ,"$16,000.00 ","$18,560.00 ",$0.00 ,$18.34 ,$0.00 ,$12.87 ,$0.00 ,$31.21 ,$8.79 ,"$3,514.12 ","$1,757.06 ","$18,560.00 ",$0.00 ,Paid,Transfer,N/A
4,29-Aug,4-Sep,Delivered,Others,C1_003B,Impression,13,Printing,$43.08 ,$560.04 ,$649.65 ,$0.00 ,$0.00 ,$10.00 ,$0.00 ,$0.00 ,$10.00 ,$33.08 ,$430.04 ,$215.02 ,$649.65 ,$0.00 ,Paid,Transfer,Sent
3,24-Aug,30-Aug,Delivered,Marie,C3_001,Sweatshirt,13,DTF,$28.00 ,$364.00 ,$422.24 ,$0.00 ,$0.00 ,$24.69 ,$0.00 ,$0.00 ,$24.69 ,$3.31 ,$43.00 ,$21.50 ,$422.24 ,$0.00 ,Paid,Transfer,Sent
2,21-Aug,24-Aug,Delivered,Robertson,C2_003C,Bag,1,Blanket,$500.00 ,$500.00 ,$580.00 ,$0.00 ,$100.00 ,$70.00 ,$0.00 ,$130.00 ,$300.00 ,$200.00 ,$200.00 ,$100.00 ,$580.00 ,$0.00 ,Paid,Transfer,Sent
1,21-Aug,22-Aug,Delivered,Others,C1_001C,Tshirt,5,Gildan,$79.00 ,$395.00 ,$458.20 ,$0.00 ,$67.22 ,$0.00 ,$0.00 ,$0.00 ,$67.22 ,$11.78 ,$58.90 ,$29.45 ,$458.20 ,$0.00 ,Paid,Cash,N/A
,,,,,,,,,,,,,,,,,,TOTAL,"$4,246.06 ","$2,123.03 ",,,,,
JULY,,,,,,,,,,,,,,,,,,,,,,,,,
1,28-Jul,17-Aug,Delivered,Others,C1_001C,Bag,100,JD-3,$40.00 ,"$4,000.00 ","$4,640.00 ",$0.00 ,$20.20 ,$0.00 ,$17.28 ,$0.00 ,$37.48 ,$2.52 ,$251.70 ,$125.85 ,"$4,640.00 ",$0.00 ,Paid,Transfer,N/A
,,,,,,,,,,,,,,,,,,TOTAL,$251.70 ,$125.85 ,,,,,
